Wavelength (nm),Current (A)
1520,7.231679999999999e-05
1521,7.90768e-05
1522,8.913280000000003e-05
1523,0.00010149919999999999
1524,0.0001064784
1525,0.00010250079999999996
1526,9.623039999999999e-05
1527,8.93728e-05
1528,8.310240000000002e-05
1529,7.611039999999999e-05
1530,7.120319999999998e-05
1531,6.58304e-05
1532,5.92592e-05
1533,5.5159999999999994e-05
1534,5.12384e-05
1535,4.7232000000000005e-05
1536,4.308000000000001e-05
1537,3.958240000000001e-05
1538,3.795040000000001e-05
1539,3.39024e-05
1540,3.20272e-05
1541,2.93632e-05
1542,2.6950400000000002e-05
1543,2.5734400000000002e-05
1544,2.41728e-05
1545,2.3417599999999998e-05
1546,2.2564799999999998e-05
1547,2.0743999999999997e-05
1548,1.9844799999999993e-05
1549,1.9244799999999996e-05
1550,1.8033599999999996e-05
1551,1.6571199999999998e-05
1552,1.6113599999999994e-05
1553,1.4929599999999998e-05
1554,1.3030399999999996e-05
1555,1.35952e-05
1556,1.2910400000000001e-05
1557,1.20752e-05
1558,1.15168e-05
1559,1.10656e-05
1560,1.12448e-05
1561,1.13824e-05
1562,1.1902399999999998e-05
1563,1.2755199999999998e-05
1564,1.4035199999999997e-05
1565,1.7724799999999993e-05
1566,1.8916799999999995e-05
1567,2.1929599999999994e-05
1568,2.4027199999999992e-05
1569,2.627039999999999e-05
1570,2.83264e-05
