Wavelength (nm),Current (A)
1520,7.731200000000001e-06
1521,8.446400000000003e-06
1522,9.089600000000002e-06
1523,9.4944e-06
1524,9.227200000000002e-06
1525,9.632e-06
1526,8.952000000000002e-06
1527,8.7968e-06
1528,9.196800000000001e-06
1529,8.936000000000002e-06
1530,8.998400000000002e-06
1531,9.148800000000001e-06
1532,9.380800000000002e-06
1533,9.152000000000001e-06
1534,9.236800000000001e-06
1535,9.598400000000001e-06
1536,8.755200000000002e-06
1537,9.715200000000001e-06
1538,9.488000000000001e-06
1539,9.4256e-06
1540,9.48e-06
1541,1.0281600000000002e-05
1542,9.7872e-06
1543,9.4656e-06
1544,1.1016e-05
1545,9.672000000000002e-06
1546,1.07072e-05
1547,1.03248e-05
1548,1.03744e-05
1549,1.0508800000000002e-05
1550,1.0696000000000002e-05
1551,1.1222400000000001e-05
1552,1.04512e-05
1553,1.0607999999999999e-05
1554,1.13408e-05
1555,1.1911999999999997e-05
1556,1.1745599999999998e-05
1557,1.2038399999999998e-05
1558,1.0681599999999998e-05
1559,1.18592e-05
1560,1.15248e-05
1561,1.1743999999999996e-05
1562,1.216e-05
1563,1.2183999999999997e-05
1564,1.2019199999999998e-05
1565,1.19104e-05
1566,1.1459199999999999e-05
1567,1.0492800000000002e-05
1568,1.05776e-05
1569,1.02848e-05
1570,9.761600000000002e-06
