Wavelength (nm),Current (A)
1520,9.5184e-06
1521,9.2416e-06
1522,9.944000000000002e-06
1523,1.01952e-05
1524,1.1155199999999998e-05
1525,1.1003199999999998e-05
1526,1.1167999999999999e-05
1527,1.13552e-05
1528,1.08128e-05
1529,1.02608e-05
1530,1.05696e-05
1531,1.03376e-05
1532,1.0081600000000002e-05
1533,1.01072e-05
1534,9.926400000000002e-06
1535,9.3664e-06
1536,9.688e-06
1537,9.7696e-06
1538,9.456e-06
1539,8.692800000000001e-06
1540,8.716800000000001e-06
1541,9.126400000000001e-06
1542,9.2496e-06
1543,9.180799999999999e-06
1544,9.273600000000002e-06
1545,8.670400000000003e-06
1546,8.241600000000003e-06
1547,8.7664e-06
1548,8.3536e-06
1549,8.712e-06
1550,8.520000000000001e-06
1551,8.625600000000001e-06
1552,7.950400000000003e-06
1553,8.259200000000002e-06
1554,7.1584000000000025e-06
1555,8.008e-06
1556,7.526400000000001e-06
1557,8.0096e-06
1558,7.764800000000002e-06
1559,7.6080000000000015e-06
1560,7.568000000000002e-06
1561,7.713600000000002e-06
1562,7.257600000000002e-06
1563,7.748800000000001e-06
1564,7.947200000000002e-06
1565,7.880000000000002e-06
1566,7.652800000000002e-06
1567,7.171200000000001e-06
1568,7.296000000000002e-06
1569,7.081600000000002e-06
1570,7.012800000000002e-06
