Wavelength (nm),Current (A)
1520,9.011200000000001e-06
1521,8.9952e-06
1522,8.5728e-06
1523,9.8032e-06
1524,9.3632e-06
1525,9.5808e-06
1526,9.454400000000002e-06
1527,9.7424e-06
1528,9.84e-06
1529,9.4304e-06
1530,8.932800000000002e-06
1531,9.971200000000002e-06
1532,9.1552e-06
1533,9.142400000000002e-06
1534,9.532800000000001e-06
1535,8.979200000000002e-06
1536,9.7504e-06
1537,9.200000000000002e-06
1538,1.0072e-05
1539,9.5824e-06
1540,9.441600000000001e-06
1541,9.8672e-06
1542,9.328000000000001e-06
1543,9.472000000000002e-06
1544,9.846400000000001e-06
1545,9.665600000000001e-06
1546,1.0096000000000003e-05
1547,1.0063999999999999e-05
1548,1.07184e-05
1549,1.0214400000000002e-05
1550,1.0718399999999999e-05
1551,1.08816e-05
1552,1.10016e-05
1553,1.0171199999999998e-05
1554,1.1192e-05
1555,1.11648e-05
1556,1.0424000000000002e-05
1557,1.1368e-05
1558,1.16368e-05
1559,1.036e-05
1560,1.0497600000000001e-05
1561,1.1158399999999998e-05
1562,1.1536e-05
1563,1.09168e-05
1564,1.06336e-05
1565,1.12656e-05
1566,1.12848e-05
1567,1.0857600000000001e-05
1568,9.8736e-06
1569,9.596800000000003e-06
1570,9.158400000000002e-06
