Wavelength (nm),Current (A)
1520,1.3407999999999998e-05
1521,1.2679999999999999e-05
1522,1.3599999999999999e-05
1523,1.4121599999999997e-05
1524,1.5305599999999995e-05
1525,1.5459199999999996e-05
1526,1.4929599999999998e-05
1527,1.5020799999999997e-05
1528,1.4231999999999997e-05
1529,1.4934399999999997e-05
1530,1.4924799999999993e-05
1531,1.4267199999999998e-05
1532,1.4831999999999996e-05
1533,1.4171199999999997e-05
1534,1.4974399999999998e-05
1535,1.3518399999999997e-05
1536,1.3691199999999997e-05
1537,1.4537599999999996e-05
1538,1.4575999999999997e-05
1539,1.3182399999999998e-05
1540,1.3271999999999998e-05
1541,1.3619199999999998e-05
1542,1.3078399999999998e-05
1543,1.2630399999999999e-05
1544,1.2585599999999999e-05
1545,1.2448000000000002e-05
1546,1.2420799999999998e-05
1547,1.2142399999999999e-05
1548,1.2446399999999998e-05
1549,1.2832e-05
1550,1.2091200000000002e-05
1551,1.2302399999999996e-05
1552,1.23792e-05
1553,1.1771199999999998e-05
1554,1.21696e-05
1555,1.17824e-05
1556,1.26128e-05
1557,1.1942399999999998e-05
1558,1.1571199999999997e-05
1559,1.2015999999999996e-05
1560,1.1982399999999999e-05
1561,1.2435199999999999e-05
1562,1.2596799999999998e-05
1563,1.1823999999999999e-05
1564,1.2395199999999998e-05
1565,1.2694399999999997e-05
1566,1.2094399999999997e-05
1567,1.2283199999999998e-05
1568,1.1336e-05
1569,1.2388799999999997e-05
1570,1.10784e-05
