Wavelength (nm),Current (A)
1520,8.670400000000001e-06
1521,9.424000000000002e-06
1522,1.0497600000000001e-05
1523,1.10096e-05
1524,1.1216000000000002e-05
1525,1.0904000000000001e-05
1526,1.0376e-05
1527,1.14112e-05
1528,1.0820800000000003e-05
1529,1.1188799999999999e-05
1530,1.11568e-05
1531,1.0566400000000001e-05
1532,1.1275199999999998e-05
1533,1.10832e-05
1534,1.1599999999999997e-05
1535,1.14576e-05
1536,1.0743999999999999e-05
1537,1.13456e-05
1538,1.11072e-05
1539,1.2049599999999997e-05
1540,1.1342400000000002e-05
1541,1.2041599999999998e-05
1542,1.22384e-05
1543,1.24016e-05
1544,1.2935999999999998e-05
1545,1.3583999999999999e-05
1546,1.3094399999999996e-05
1547,1.3230399999999998e-05
1548,1.2870399999999998e-05
1549,1.25104e-05
1550,1.27536e-05
1551,1.3179199999999997e-05
1552,1.3734399999999997e-05
1553,1.3755199999999998e-05
1554,1.2337599999999997e-05
1555,1.34784e-05
1556,1.30608e-05
1557,1.3912e-05
1558,1.2839999999999997e-05
1559,1.3391999999999996e-05
1560,1.4747199999999997e-05
1561,1.3263999999999999e-05
1562,1.5145599999999996e-05
1563,1.4470399999999996e-05
1564,1.3902399999999996e-05
1565,1.4238399999999997e-05
1566,1.3912e-05
1567,1.4209599999999997e-05
1568,1.3116799999999998e-05
1569,1.2292799999999999e-05
1570,1.1547199999999998e-05
