Wavelength (nm),Current (A)
1520,1.2646399999999998e-05
1521,1.3308799999999997e-05
1522,1.32304e-05
1523,1.4345599999999997e-05
1524,1.4591999999999997e-05
1525,1.3612800000000001e-05
1526,1.41776e-05
1527,1.2947199999999999e-05
1528,1.2926399999999999e-05
1529,1.28704e-05
1530,1.4324799999999997e-05
1531,1.4217599999999998e-05
1532,1.3537599999999999e-05
1533,1.4315199999999996e-05
1534,1.35168e-05
1535,1.5316799999999995e-05
1536,1.4505599999999999e-05
1537,1.4297599999999997e-05
1538,1.5563199999999997e-05
1539,1.6255999999999995e-05
1540,1.70896e-05
1541,1.82624e-05
1542,1.7918399999999998e-05
1543,1.81104e-05
1544,1.97024e-05
1545,2.1118399999999994e-05
1546,2.2865599999999997e-05
1547,2.324959999999999e-05
1548,2.488e-05
1549,2.6428799999999993e-05
1550,2.97808e-05
1551,3.3675200000000006e-05
1552,3.6174400000000004e-05
1553,3.761280000000001e-05
1554,3.970240000000001e-05
1555,4.408480000000001e-05
1556,4.500480000000001e-05
1557,4.839360000000001e-05
1558,5.194239999999999e-05
1559,5.616959999999998e-05
1560,6.0363199999999985e-05
1561,6.409599999999998e-05
1562,7.101759999999999e-05
1563,7.916320000000001e-05
1564,8.031359999999998e-05
1565,7.989439999999999e-05
1566,7.733919999999999e-05
1567,7.41232e-05
1568,6.914879999999998e-05
1569,6.247039999999998e-05
1570,5.530239999999999e-05
