Wavelength (nm),Current (A)
1520,1.1625599999999998e-05
1521,1.1748799999999998e-05
1522,1.15552e-05
1523,1.2292799999999997e-05
1524,1.30512e-05
1525,1.2558399999999998e-05
1526,1.3286399999999997e-05
1527,1.2019200000000002e-05
1528,1.2310399999999998e-05
1529,1.2984e-05
1530,1.2776000000000001e-05
1531,1.27104e-05
1532,1.1719999999999998e-05
1533,1.2243199999999998e-05
1534,1.21616e-05
1535,1.1235199999999999e-05
1536,1.1689599999999999e-05
1537,1.1248e-05
1538,1.2448000000000002e-05
1539,1.19776e-05
1540,1.1937599999999999e-05
1541,1.1475199999999998e-05
1542,1.14688e-05
1543,1.17232e-05
1544,1.1649600000000001e-05
1545,1.10192e-05
1546,1.2195199999999998e-05
1547,1.2243199999999998e-05
1548,1.1937599999999999e-05
1549,1.13952e-05
1550,1.1347199999999999e-05
1551,1.1497599999999998e-05
1552,1.1743999999999996e-05
1553,1.1737600000000001e-05
1554,1.13168e-05
1555,1.0924799999999999e-05
1556,1.17648e-05
1557,1.1844799999999997e-05
1558,1.15792e-05
1559,1.19264e-05
1560,1.1851199999999998e-05
1561,1.23472e-05
1562,1.1262399999999997e-05
1563,1.1435199999999999e-05
1564,1.2136e-05
1565,1.1342399999999998e-05
1566,1.1265600000000003e-05
1567,1.1494399999999998e-05
1568,1.08672e-05
1569,1.0542400000000001e-05
1570,1.14016e-05
