Wavelength (nm),Current (A)
1520,2.2499199999999993e-05
1521,2.1967999999999997e-05
1522,2.2471999999999994e-05
1523,2.2001599999999996e-05
1524,2.19456e-05
1525,2.0140799999999995e-05
1526,1.8726399999999994e-05
1527,1.8319999999999997e-05
1528,1.8825599999999998e-05
1529,1.97376e-05
1530,1.9951999999999998e-05
1531,2.2816e-05
1532,2.30784e-05
1533,2.44352e-05
1534,2.5761599999999997e-05
1535,2.808e-05
1536,3.06032e-05
1537,3.35056e-05
1538,3.602880000000001e-05
1539,3.937920000000001e-05
1540,4.1737600000000005e-05
1541,4.62128e-05
1542,4.988639999999999e-05
1543,5.472799999999999e-05
1544,5.823679999999998e-05
1545,6.16992e-05
1546,6.717439999999998e-05
1547,7.244959999999998e-05
1548,8.01344e-05
1549,8.989600000000002e-05
1550,0.00010016639999999999
1551,0.00011015839999999999
1552,0.00011628320000000003
1553,0.0001223216
1554,0.0001335824
1555,0.00014404479999999997
1556,0.00015472
1557,0.0001706688
1558,0.00018050079999999997
1559,0.00018616
1560,0.000198096
1561,0.00021193760000000006
1562,0.00022508480000000002
1563,0.00023658399999999997
1564,0.00024170879999999996
1565,0.0002470159999999999
1566,0.00023425919999999997
1567,0.00021510400000000006
1568,0.0001893568
1569,0.00016590400000000006
1570,0.000142016
