Wavelength (nm),Current (A)
1520,1.1009599999999997e-05
1521,1.08112e-05
1522,1.1119999999999999e-05
1523,1.18304e-05
1524,1.3182399999999998e-05
1525,1.26768e-05
1526,1.2048e-05
1527,1.3447999999999999e-05
1528,1.3252799999999996e-05
1529,1.23472e-05
1530,1.3238399999999997e-05
1531,1.2318399999999997e-05
1532,1.2355199999999996e-05
1533,1.2004799999999999e-05
1534,1.2337599999999997e-05
1535,1.3675199999999999e-05
1536,1.27808e-05
1537,1.3519999999999998e-05
1538,1.2830399999999998e-05
1539,1.2835199999999995e-05
1540,1.3063999999999997e-05
1541,1.4513599999999996e-05
1542,1.36816e-05
1543,1.4551999999999996e-05
1544,1.4447999999999998e-05
1545,1.4937599999999996e-05
1546,1.5526399999999998e-05
1547,1.5547199999999996e-05
1548,1.6809599999999996e-05
1549,1.7452799999999997e-05
1550,1.7617599999999995e-05
1551,1.76576e-05
1552,1.7859199999999993e-05
1553,1.87408e-05
1554,2.1335999999999997e-05
1555,2.13072e-05
1556,2.09696e-05
1557,2.2343999999999998e-05
1558,2.4351999999999997e-05
1559,2.6060799999999996e-05
1560,2.8262399999999996e-05
1561,3.00288e-05
1562,3.333920000000001e-05
1563,3.679520000000001e-05
1564,3.6582400000000004e-05
1565,3.739360000000001e-05
1566,3.5432e-05
1567,3.464960000000001e-05
1568,3.17728e-05
1569,2.98256e-05
1570,2.6548800000000002e-05
