Wavelength (nm),Current (A)
1520,8.774400000000002e-06
1521,8.566400000000002e-06
1522,8.491200000000001e-06
1523,9.3216e-06
1524,9.6096e-06
1525,9.553600000000001e-06
1526,9.145600000000001e-06
1527,9.1536e-06
1528,8.5568e-06
1529,9.624000000000001e-06
1530,9.169600000000001e-06
1531,9.872000000000001e-06
1532,9.644800000000001e-06
1533,9.200000000000002e-06
1534,1.00304e-05
1535,9.580800000000002e-06
1536,9.262400000000001e-06
1537,1.0116800000000001e-05
1538,1.02256e-05
1539,9.9984e-06
1540,1.0254400000000001e-05
1541,1.0382399999999999e-05
1542,1.03968e-05
1543,1.0822399999999997e-05
1544,1.04848e-05
1545,1.0368e-05
1546,1.0907200000000001e-05
1547,1.1239999999999997e-05
1548,1.0713599999999999e-05
1549,1.08384e-05
1550,1.0985599999999999e-05
1551,1.0671999999999999e-05
1552,1.1233599999999999e-05
1553,1.1190399999999997e-05
1554,1.1921599999999998e-05
1555,1.1056e-05
1556,1.21008e-05
1557,1.2142399999999999e-05
1558,1.1563199999999998e-05
1559,1.2558399999999998e-05
1560,1.2283199999999998e-05
1561,1.18384e-05
1562,1.2310399999999998e-05
1563,1.2342399999999997e-05
1564,1.28208e-05
1565,1.2700799999999999e-05
1566,1.14656e-05
1567,1.108e-05
1568,1.0555200000000002e-05
1569,1.00576e-05
1570,9.593600000000002e-06
