Wavelength (nm),Current (A)
1520,0.0002377072
1521,0.00023527199999999994
1522,0.00023345440000000002
1523,0.00023768799999999995
1524,0.00023685279999999996
1525,0.0002339856
1526,0.00023721279999999997
1527,0.00024642079999999996
1528,0.0002606687999999999
1529,0.0002735184000000001
1530,0.0002939088000000001
1531,0.0003149056000000001
1532,0.0003328287999999999
1533,0.00035672799999999995
1534,0.00037765119999999997
1535,0.00039645280000000005
1536,0.0004245712
1537,0.00044249119999999995
1538,0.0004687840000000001
1539,0.000495608
1540,0.0005193328000000001
1541,0.0005430416000000001
1542,0.0005699663999999999
1543,0.0005993744000000002
1544,0.0006329232000000003
1545,0.0006575967999999998
1546,0.0006855072000000001
1547,0.0007161600000000001
1548,0.0007425839999999999
1549,0.0007675519999999999
1550,0.0007903040000000001
1551,0.000810808
1552,0.0008375200000000002
1553,0.0008525407999999998
1554,0.0008744335999999999
1555,0.0008864543999999999
1556,0.0008954640000000001
1557,0.0009132112000000002
1558,0.0009137104000000001
1559,0.0009145392000000002
1560,0.0009188128000000001
1561,0.0009130976000000001
1562,0.0009111632000000001
1563,0.0009017056000000002
1564,0.0008736927999999996
1565,0.0008456767999999999
1566,0.0007628127999999999
1567,0.0006804848000000002
1568,0.0005969120000000001
1569,0.0005251472000000001
1570,0.00046275360000000003
