Wavelength (nm),Current (A)
1520,9.744000000000002e-06
1521,1.084e-05
1522,1.0974400000000001e-05
1523,1.1567999999999997e-05
1524,1.1329599999999999e-05
1525,1.1067200000000001e-05
1526,1.08912e-05
1527,1.1359999999999998e-05
1528,1.1551999999999999e-05
1529,1.1403199999999998e-05
1530,1.1681599999999998e-05
1531,1.1342399999999998e-05
1532,1.1024e-05
1533,1.17232e-05
1534,1.1192e-05
1535,1.2180799999999999e-05
1536,1.13552e-05
1537,1.1176000000000003e-05
1538,1.1038400000000001e-05
1539,1.2046399999999999e-05
1540,1.1492799999999998e-05
1541,1.1846399999999999e-05
1542,1.1435199999999999e-05
1543,1.17408e-05
1544,1.1475200000000002e-05
1545,1.13552e-05
1546,1.052e-05
1547,1.1575999999999999e-05
1548,1.16016e-05
1549,1.07872e-05
1550,1.1172799999999997e-05
1551,1.1527999999999999e-05
1552,1.1062400000000001e-05
1553,1.1551999999999999e-05
1554,1.1254400000000002e-05
1555,1.0836800000000003e-05
1556,1.02912e-05
1557,1.0487999999999999e-05
1558,1.0041599999999999e-05
1559,1.00848e-05
1560,1.1115200000000002e-05
1561,1.0759999999999999e-05
1562,1.1204800000000002e-05
1563,1.04144e-05
1564,1.09248e-05
1565,1.10944e-05
1566,1.00576e-05
1567,9.896e-06
1568,1.0175999999999999e-05
1569,9.795200000000002e-06
1570,9.838399999999999e-06
