Wavelength (nm),Current (A)
1520,1.3518399999999997e-05
1521,1.4524799999999997e-05
1522,1.4987199999999998e-05
1523,1.4975999999999997e-05
1524,1.64064e-05
1525,1.6113599999999998e-05
1526,1.5337599999999994e-05
1527,1.5143999999999998e-05
1528,1.6308799999999995e-05
1529,1.55568e-05
1530,1.5408e-05
1531,1.6041599999999996e-05
1532,1.5148799999999996e-05
1533,1.45904e-05
1534,1.5191999999999996e-05
1535,1.4588799999999997e-05
1536,1.3924799999999998e-05
1537,1.3862399999999998e-05
1538,1.3943999999999996e-05
1539,1.4254399999999997e-05
1540,1.4027199999999997e-05
1541,1.3919999999999997e-05
1542,1.4334399999999998e-05
1543,1.4111999999999996e-05
1544,1.4488e-05
1545,1.32672e-05
1546,1.40992e-05
1547,1.28672e-05
1548,1.2881599999999997e-05
1549,1.2783999999999998e-05
1550,1.3419199999999997e-05
1551,1.2993599999999997e-05
1552,1.25312e-05
1553,1.2719999999999998e-05
1554,1.2830399999999998e-05
1555,1.2279999999999998e-05
1556,1.2776000000000001e-05
1557,1.1753599999999999e-05
1558,1.1300799999999999e-05
1559,1.2110399999999998e-05
1560,1.2479999999999997e-05
1561,1.0969599999999999e-05
1562,1.1771199999999998e-05
1563,1.17504e-05
1564,1.17008e-05
1565,1.2881599999999997e-05
1566,1.2628799999999998e-05
1567,1.1310399999999998e-05
1568,1.1884799999999998e-05
1569,1.12176e-05
1570,1.13968e-05
