Wavelength (nm),Current (A)
1520,8.7792e-06
1521,8.7584e-06
1522,8.955200000000002e-06
1523,9.544e-06
1524,1.0281600000000002e-05
1525,1.0129600000000002e-05
1526,9.8624e-06
1527,9.8832e-06
1528,1.0112e-05
1529,1.0371200000000002e-05
1530,9.3184e-06
1531,1.01072e-05
1532,9.3936e-06
1533,1.0190400000000002e-05
1534,9.452800000000002e-06
1535,9.500800000000002e-06
1536,9.48e-06
1537,9.1104e-06
1538,9.6304e-06
1539,9.246400000000002e-06
1540,9.0272e-06
1541,9.401600000000002e-06
1542,9.8928e-06
1543,8.824000000000002e-06
1544,1.02464e-05
1545,9.344000000000002e-06
1546,8.728000000000002e-06
1547,8.608000000000001e-06
1548,8.907200000000002e-06
1549,9.108800000000002e-06
1550,9.756800000000001e-06
1551,9.507200000000001e-06
1552,9.977599999999999e-06
1553,9.536000000000002e-06
1554,9.6592e-06
1555,9.603200000000002e-06
1556,1.0432000000000003e-05
1557,1.0447999999999999e-05
1558,9.5792e-06
1559,1.00688e-05
1560,1.0516799999999999e-05
1561,1.00768e-05
1562,1.0972800000000001e-05
1563,1.06992e-05
1564,1.14512e-05
1565,1.1155200000000001e-05
1566,1.0782399999999999e-05
1567,1.05184e-05
1568,1.00128e-05
1569,9.516800000000002e-06
1570,8.4848e-06
