Wavelength (nm),Current (A)
1520,1.0806399999999999e-05
1521,1.1971199999999998e-05
1522,1.4022399999999995e-05
1523,1.424e-05
1524,1.5929599999999997e-05
1525,1.5366399999999996e-05
1526,1.5156799999999997e-05
1527,1.4577599999999997e-05
1528,1.3971199999999996e-05
1529,1.3471999999999997e-05
1530,1.2297599999999999e-05
1531,1.1497599999999998e-05
1532,1.13856e-05
1533,1.0812800000000003e-05
1534,1.13872e-05
1535,1.07648e-05
1536,1.08544e-05
1537,1.0016e-05
1538,1.0351999999999998e-05
1539,9.910400000000001e-06
1540,1.03344e-05
1541,1.0249600000000001e-05
1542,1.02624e-05
1543,9.324800000000003e-06
1544,9.752e-06
1545,9.5232e-06
1546,9.377600000000001e-06
1547,9.4512e-06
1548,9.9504e-06
1549,9.048000000000002e-06
1550,8.606400000000001e-06
1551,8.302400000000002e-06
1552,8.6096e-06
1553,8.790400000000001e-06
1554,8.632000000000001e-06
1555,8.032000000000002e-06
1556,8.907200000000002e-06
1557,7.844800000000002e-06
1558,8.329600000000002e-06
1559,8.500800000000002e-06
1560,8.665600000000002e-06
1561,7.843200000000001e-06
1562,8.184e-06
1563,8.241600000000003e-06
1564,8.582400000000001e-06
1565,7.966400000000002e-06
1566,8.160000000000001e-06
1567,7.604800000000002e-06
1568,8.532800000000002e-06
1569,8.304e-06
1570,8.3296e-06
