Wavelength (nm),Current (A)
1520,1.3067199999999997e-05
1521,1.3687999999999997e-05
1522,1.4459199999999999e-05
1523,1.5745599999999997e-05
1524,1.6015999999999994e-05
1525,1.5654399999999997e-05
1526,1.6812799999999996e-05
1527,1.5382399999999997e-05
1528,1.5860799999999996e-05
1529,1.6012799999999993e-05
1530,1.5463999999999996e-05
1531,1.5150399999999998e-05
1532,1.4772799999999997e-05
1533,1.5447999999999995e-05
1534,1.44e-05
1535,1.44656e-05
1536,1.4644799999999997e-05
1537,1.4054399999999997e-05
1538,1.3652799999999999e-05
1539,1.4697599999999998e-05
1540,1.3779199999999997e-05
1541,1.4555199999999999e-05
1542,1.3775999999999998e-05
1543,1.3420799999999999e-05
1544,1.3768e-05
1545,1.3926399999999996e-05
1546,1.4382399999999996e-05
1547,1.3764799999999997e-05
1548,1.3659199999999998e-05
1549,1.2815999999999997e-05
1550,1.3531199999999997e-05
1551,1.2758399999999998e-05
1552,1.3191999999999998e-05
1553,1.2376000000000001e-05
1554,1.29408e-05
1555,1.2756799999999998e-05
1556,1.2344e-05
1557,1.3343999999999996e-05
1558,1.1916799999999999e-05
1559,1.2094399999999997e-05
1560,1.18672e-05
1561,1.1897599999999998e-05
1562,1.2708799999999998e-05
1563,1.1833599999999996e-05
1564,1.1656e-05
1565,1.2395199999999998e-05
1566,1.2423999999999998e-05
1567,1.1688e-05
1568,1.2135999999999999e-05
1569,1.2041599999999998e-05
1570,1.2311999999999998e-05
