Wavelength (nm),Current (A)
1520,3.0204800000000003e-05
1521,2.8912e-05
1522,2.8206399999999998e-05
1523,2.8144e-05
1524,2.65936e-05
1525,2.4839999999999996e-05
1526,2.348e-05
1527,2.4761599999999993e-05
1528,2.51488e-05
1529,2.6699199999999997e-05
1530,2.8667199999999995e-05
1531,3.0952e-05
1532,3.31392e-05
1533,3.5328000000000005e-05
1534,3.7881600000000014e-05
1535,4.1086400000000014e-05
1536,4.421600000000001e-05
1537,4.8014400000000006e-05
1538,5.25232e-05
1539,5.5787199999999987e-05
1540,6.0044799999999985e-05
1541,6.773119999999999e-05
1542,7.461439999999999e-05
1543,8.24304e-05
1544,8.97264e-05
1545,9.52928e-05
1546,0.00010509599999999997
1547,0.00011538720000000001
1548,0.0001238208
1549,0.0001360496
1550,0.00014915679999999998
1551,0.00016194400000000002
1552,0.000171864
1553,0.00017928479999999996
1554,0.00019004799999999998
1555,0.00020487680000000005
1556,0.00022177280000000002
1557,0.00023782239999999997
1558,0.0002466431999999999
1559,0.00026154559999999995
1560,0.0002800992000000001
1561,0.0002960240000000001
1562,0.00031225120000000006
1563,0.00033193440000000007
1564,0.00033928159999999997
1565,0.00034325599999999995
1566,0.00031784
1567,0.0002908544000000001
1568,0.00025699679999999995
1569,0.0002224576
1570,0.00018942880000000003
