Wavelength (nm),Current (A)
1520,1.2575999999999998e-05
1521,1.3104e-05
1522,1.3276799999999996e-05
1523,1.3015999999999997e-05
1524,1.3334399999999999e-05
1525,1.3275199999999998e-05
1526,1.4547199999999999e-05
1527,1.4025599999999997e-05
1528,1.4415999999999997e-05
1529,1.4427199999999996e-05
1530,1.29952e-05
1531,1.3107199999999999e-05
1532,1.3614399999999996e-05
1533,1.27984e-05
1534,1.33936e-05
1535,1.23904e-05
1536,1.2699199999999997e-05
1537,1.2769599999999997e-05
1538,1.2499199999999999e-05
1539,1.2875199999999998e-05
1540,1.1999999999999999e-05
1541,1.2838399999999999e-05
1542,1.2744e-05
1543,1.23856e-05
1544,1.23296e-05
1545,1.2087999999999998e-05
1546,1.26848e-05
1547,1.1444799999999998e-05
1548,1.1649600000000001e-05
1549,1.1822399999999997e-05
1550,1.2668799999999998e-05
1551,1.1750399999999998e-05
1552,1.2215999999999998e-05
1553,1.2475199999999999e-05
1554,1.14896e-05
1555,1.2262399999999998e-05
1556,1.17216e-05
1557,1.1542400000000002e-05
1558,1.1614399999999998e-05
1559,1.2287999999999997e-05
1560,1.2511999999999996e-05
1561,1.2095999999999999e-05
1562,1.23024e-05
1563,1.1988800000000001e-05
1564,1.2454399999999997e-05
1565,1.2540799999999999e-05
1566,1.24944e-05
1567,1.2273599999999999e-05
1568,1.1523199999999998e-05
1569,1.1649599999999998e-05
1570,1.1288000000000001e-05
