Wavelength (nm),Current (A)
1520,8.659200000000002e-06
1521,8.876800000000001e-06
1522,9.296000000000002e-06
1523,9.601600000000001e-06
1524,1.02032e-05
1525,9.683200000000002e-06
1526,1.00416e-05
1527,9.865600000000001e-06
1528,1.05888e-05
1529,9.7024e-06
1530,9.956800000000001e-06
1531,9.908800000000002e-06
1532,9.932800000000001e-06
1533,9.824000000000003e-06
1534,1.0091200000000001e-05
1535,1.0123200000000002e-05
1536,1.0275200000000001e-05
1537,9.912000000000003e-06
1538,9.6816e-06
1539,9.6272e-06
1540,9.707200000000003e-06
1541,9.830400000000002e-06
1542,9.5712e-06
1543,9.0576e-06
1544,9.8848e-06
1545,9.532800000000001e-06
1546,1.0019199999999999e-05
1547,9.857600000000002e-06
1548,9.932800000000001e-06
1549,8.764800000000001e-06
1550,9.7808e-06
1551,9.284800000000001e-06
1552,8.976000000000002e-06
1553,9.448000000000002e-06
1554,9.6576e-06
1555,9.556800000000001e-06
1556,9.115200000000002e-06
1557,9.932800000000001e-06
1558,9.678400000000002e-06
1559,9.996799999999999e-06
1560,1.0470399999999999e-05
1561,1.03344e-05
1562,9.859199999999999e-06
1563,1.0611200000000001e-05
1564,1.05184e-05
1565,9.7056e-06
1566,1.0256e-05
1567,9.630400000000002e-06
1568,9.8688e-06
1569,9.3008e-06
1570,8.937600000000002e-06
