Wavelength (nm),Current (A)
1520,1.1043199999999998e-05
1521,1.0695999999999997e-05
1522,1.1865600000000002e-05
1523,1.1870399999999999e-05
1524,1.2254399999999999e-05
1525,1.21248e-05
1526,1.2081599999999998e-05
1527,1.1924799999999996e-05
1528,1.2108799999999998e-05
1529,1.19072e-05
1530,1.1487999999999999e-05
1531,1.14544e-05
1532,1.18416e-05
1533,1.1926399999999998e-05
1534,1.21648e-05
1535,1.18384e-05
1536,1.20656e-05
1537,1.1148800000000002e-05
1538,1.11344e-05
1539,1.2763199999999998e-05
1540,1.1817599999999998e-05
1541,1.21296e-05
1542,1.1985599999999998e-05
1543,1.21008e-05
1544,1.0974400000000001e-05
1545,1.1097600000000002e-05
1546,1.14912e-05
1547,1.1393599999999999e-05
1548,1.1996799999999998e-05
1549,1.16208e-05
1550,1.08464e-05
1551,1.2019199999999998e-05
1552,1.0979199999999998e-05
1553,1.15184e-05
1554,1.1868799999999999e-05
1555,1.12992e-05
1556,1.10272e-05
1557,1.2224e-05
1558,1.17856e-05
1559,1.1239999999999997e-05
1560,1.1731199999999999e-05
1561,1.15216e-05
1562,1.1564800000000001e-05
1563,1.06128e-05
1564,1.1017600000000001e-05
1565,1.1212799999999999e-05
1566,1.0628799999999997e-05
1567,1.0852799999999999e-05
1568,1.0968e-05
1569,9.827200000000001e-06
1570,1.01264e-05
