Wavelength (nm),Current (A)
1520,6.218879999999998e-05
1521,6.029919999999999e-05
1522,5.7659199999999985e-05
1523,5.658239999999998e-05
1524,5.4735999999999986e-05
1525,5.16176e-05
1526,5.0271999999999996e-05
1527,5.1648e-05
1528,5.3881599999999996e-05
1529,5.745599999999999e-05
1530,6.271519999999999e-05
1531,6.746079999999998e-05
1532,7.242079999999999e-05
1533,7.927679999999999e-05
1534,8.60816e-05
1535,9.34096e-05
1536,0.00010456479999999996
1537,0.0001158048
1538,0.00012392160000000002
1539,0.000133464
1540,0.0001439504
1541,0.00015549439999999997
1542,0.0001696736
1543,0.00018167679999999995
1544,0.0001938608
1545,0.00020713120000000006
1546,0.00022228320000000003
1547,0.00023899999999999998
1548,0.0002573344
1549,0.00027577920000000004
1550,0.00029316320000000005
1551,0.00031166080000000006
1552,0.00033732639999999996
1553,0.0003542527999999999
1554,0.0003762912
1555,0.0004001296000000001
1556,0.00042118719999999996
1557,0.00044783839999999996
1558,0.00046703999999999995
1559,0.0004842303999999999
1560,0.0005158384
1561,0.000526912
1562,0.0005513088000000002
1563,0.0005694559999999999
1564,0.0005725808
1565,0.0005714959999999999
1566,0.0005254704
1567,0.0004724656000000001
1568,0.0004155552
1569,0.0003581264
1570,0.00030512640000000005
