Wavelength (nm),Current (A)
1520,9.848000000000001e-06
1521,9.584e-06
1522,1.07328e-05
1523,1.1020799999999998e-05
1524,1.1465599999999997e-05
1525,1.1348799999999997e-05
1526,1.19392e-05
1527,1.20176e-05
1528,1.1427199999999998e-05
1529,1.0728000000000001e-05
1530,1.0742399999999999e-05
1531,1.1086400000000001e-05
1532,1.1239999999999997e-05
1533,1.1303999999999999e-05
1534,1.1331199999999997e-05
1535,1.2076799999999998e-05
1536,1.1344e-05
1537,1.11744e-05
1538,1.21072e-05
1539,1.1748799999999998e-05
1540,1.1993599999999998e-05
1541,1.2192e-05
1542,1.3247999999999998e-05
1543,1.3132799999999996e-05
1544,1.3220799999999997e-05
1545,1.2999999999999998e-05
1546,1.3481599999999996e-05
1547,1.2444799999999998e-05
1548,1.2745599999999999e-05
1549,1.3311999999999999e-05
1550,1.3787199999999999e-05
1551,1.2791999999999999e-05
1552,1.3316799999999998e-05
1553,1.3961599999999999e-05
1554,1.3870399999999997e-05
1555,1.4982399999999999e-05
1556,1.4020799999999998e-05
1557,1.4785599999999996e-05
1558,1.4990399999999996e-05
1559,1.4897599999999994e-05
1560,1.6201599999999997e-05
1561,1.68944e-05
1562,1.7025599999999995e-05
1563,1.6556799999999997e-05
1564,1.7639999999999997e-05
1565,1.7041599999999996e-05
1566,1.6830399999999997e-05
1567,1.5729599999999996e-05
1568,1.4788799999999996e-05
1569,1.3004799999999996e-05
1570,1.2158399999999999e-05
