Wavelength (nm),Current (A)
1520,2.3086399999999993e-05
1521,2.4118400000000003e-05
1522,2.6438399999999997e-05
1523,2.99008e-05
1524,3.0985600000000004e-05
1525,3.0212800000000003e-05
1526,2.8724800000000003e-05
1527,2.7512e-05
1528,2.5313599999999998e-05
1529,2.39888e-05
1530,2.2657599999999995e-05
1531,2.1612799999999994e-05
1532,2.0656e-05
1533,1.9452799999999994e-05
1534,1.7964799999999994e-05
1535,1.7383999999999998e-05
1536,1.6139199999999996e-05
1537,1.5387199999999997e-05
1538,1.4288000000000001e-05
1539,1.30688e-05
1540,1.28976e-05
1541,1.16784e-05
1542,1.18144e-05
1543,1.18496e-05
1544,1.1521600000000002e-05
1545,1.1155200000000001e-05
1546,1.06592e-05
1547,1.0094400000000001e-05
1548,1.0115200000000001e-05
1549,1.0753599999999998e-05
1550,1.01424e-05
1551,9.448000000000002e-06
1552,9.798400000000001e-06
1553,9.9424e-06
1554,9.7104e-06
1555,9.4464e-06
1556,1.0036799999999999e-05
1557,9.947200000000002e-06
1558,9.1296e-06
1559,9.304000000000001e-06
1560,9.2336e-06
1561,8.934400000000002e-06
1562,8.697600000000001e-06
1563,8.995200000000002e-06
1564,9.4976e-06
1565,9.939200000000001e-06
1566,9.68e-06
1567,1.0134400000000002e-05
1568,9.8304e-06
1569,1.0824e-05
1570,1.1449599999999998e-05
