Wavelength (nm),Current (A)
1520,1.10688e-05
1521,1.0736e-05
1522,1.2143999999999998e-05
1523,1.15856e-05
1524,1.2505599999999998e-05
1525,1.22944e-05
1526,1.2139199999999999e-05
1527,1.1777599999999999e-05
1528,1.1702399999999998e-05
1529,1.1932799999999999e-05
1530,1.2217600000000001e-05
1531,1.2043199999999998e-05
1532,1.1003200000000002e-05
1533,1.2535999999999997e-05
1534,1.19968e-05
1535,1.1536000000000001e-05
1536,1.1844799999999999e-05
1537,1.16448e-05
1538,1.1606400000000001e-05
1539,1.2008e-05
1540,1.1262399999999999e-05
1541,1.2222399999999998e-05
1542,1.2591999999999997e-05
1543,1.16848e-05
1544,1.2204799999999999e-05
1545,1.14288e-05
1546,1.132e-05
1547,1.15008e-05
1548,1.1665599999999999e-05
1549,1.1993599999999998e-05
1550,1.2278399999999998e-05
1551,1.1819199999999999e-05
1552,1.1752000000000002e-05
1553,1.16176e-05
1554,1.1604800000000001e-05
1555,1.1424e-05
1556,1.1233599999999999e-05
1557,1.1412800000000002e-05
1558,1.1756799999999999e-05
1559,1.2299199999999997e-05
1560,1.2071999999999996e-05
1561,1.1494399999999998e-05
1562,1.1268800000000003e-05
1563,1.1776e-05
1564,1.1195199999999999e-05
1565,1.10768e-05
1566,1.17792e-05
1567,1.1571200000000002e-05
1568,1.0729600000000001e-05
1569,1.07552e-05
1570,1.0321600000000001e-05
