Wavelength (nm),Current (A)
1520,9.2304e-06
1521,9.865600000000003e-06
1522,1.02976e-05
1523,1.0616e-05
1524,1.14832e-05
1525,1.2163199999999999e-05
1526,1.1054399999999999e-05
1527,1.11344e-05
1528,1.16448e-05
1529,1.2494399999999997e-05
1530,1.1791999999999998e-05
1531,1.1832000000000001e-05
1532,1.1668799999999997e-05
1533,1.2577599999999996e-05
1534,1.2822399999999998e-05
1535,1.2903999999999997e-05
1536,1.2974399999999997e-05
1537,1.1727999999999999e-05
1538,1.2751999999999998e-05
1539,1.1771199999999998e-05
1540,1.34528e-05
1541,1.2606399999999997e-05
1542,1.2799999999999996e-05
1543,1.3609599999999998e-05
1544,1.2423999999999998e-05
1545,1.32272e-05
1546,1.3601599999999999e-05
1547,1.3791999999999998e-05
1548,1.3932799999999998e-05
1549,1.3649599999999999e-05
1550,1.41072e-05
1551,1.4103999999999996e-05
1552,1.5526399999999998e-05
1553,1.53152e-05
1554,1.5459199999999996e-05
1555,1.5495999999999995e-05
1556,1.5951999999999996e-05
1557,1.5588799999999995e-05
1558,1.5625599999999998e-05
1559,1.7140799999999997e-05
1560,1.7743999999999995e-05
1561,1.9052799999999995e-05
1562,1.7740799999999998e-05
1563,1.8945599999999997e-05
1564,1.8208e-05
1565,2.06e-05
1566,2.0558399999999996e-05
1567,1.9495999999999994e-05
1568,1.7825599999999994e-05
1569,1.68688e-05
1570,1.6660799999999995e-05
