Wavelength (nm),Current (A)
1520,1.19904e-05
1521,1.2879999999999999e-05
1522,1.3377599999999997e-05
1523,1.4068799999999998e-05
1524,1.4449599999999996e-05
1525,1.4411199999999997e-05
1526,1.5550399999999996e-05
1527,1.4867199999999997e-05
1528,1.4995199999999997e-05
1529,1.4571199999999997e-05
1530,1.4412799999999997e-05
1531,1.34384e-05
1532,1.3809599999999999e-05
1533,1.3230399999999998e-05
1534,1.3993599999999996e-05
1535,1.3151999999999997e-05
1536,1.3052799999999998e-05
1537,1.3971199999999998e-05
1538,1.3590399999999998e-05
1539,1.2990399999999998e-05
1540,1.2876799999999998e-05
1541,1.3447999999999999e-05
1542,1.26192e-05
1543,1.2470399999999998e-05
1544,1.3241599999999999e-05
1545,1.2974399999999999e-05
1546,1.3220799999999997e-05
1547,1.2763199999999998e-05
1548,1.2564799999999999e-05
1549,1.2428799999999999e-05
1550,1.2697599999999999e-05
1551,1.132e-05
1552,1.2015999999999996e-05
1553,1.1691199999999999e-05
1554,1.1339200000000001e-05
1555,1.2119999999999997e-05
1556,1.18064e-05
1557,1.2384e-05
1558,1.2510399999999996e-05
1559,1.2049599999999997e-05
1560,1.2057599999999998e-05
1561,1.13632e-05
1562,1.2028799999999999e-05
1563,1.2510399999999996e-05
1564,1.16944e-05
1565,1.2435199999999999e-05
1566,1.16096e-05
1567,1.1702399999999997e-05
1568,1.14688e-05
1569,1.2105599999999998e-05
1570,1.12176e-05
