Wavelength (nm),Current (A)
1520,1.5489599999999995e-05
1521,1.4396799999999996e-05
1522,1.4862399999999999e-05
1523,1.49184e-05
1524,1.6172799999999995e-05
1525,1.4798399999999997e-05
1526,1.3523199999999998e-05
1527,1.3431999999999996e-05
1528,1.4651199999999996e-05
1529,1.4100799999999996e-05
1530,1.3695999999999999e-05
1531,1.4603199999999998e-05
1532,1.4830399999999998e-05
1533,1.4999999999999995e-05
1534,1.6404799999999996e-05
1535,1.7172799999999993e-05
1536,1.6767999999999993e-05
1537,1.7900799999999996e-05
1538,1.7923199999999995e-05
1539,1.8276799999999994e-05
1540,2.0300799999999997e-05
1541,2.1718399999999995e-05
1542,2.4020799999999995e-05
1543,2.5985599999999997e-05
1544,2.7793599999999998e-05
1545,2.7892799999999998e-05
1546,3.13888e-05
1547,3.314240000000001e-05
1548,3.73632e-05
1549,4.149120000000001e-05
1550,4.3876800000000007e-05
1551,4.63472e-05
1552,4.98736e-05
1553,5.4121599999999994e-05
1554,5.7516799999999984e-05
1555,6.16128e-05
1556,6.650239999999998e-05
1557,7.567359999999999e-05
1558,8.193599999999998e-05
1559,8.578720000000001e-05
1560,9.15024e-05
1561,0.00010095359999999998
1562,0.00011260960000000001
1563,0.00011959840000000003
1564,0.00012178400000000003
1565,0.0001245328
1566,0.0001181456
1567,0.00010955839999999998
1568,9.867679999999999e-05
1569,8.74272e-05
1570,7.402239999999999e-05
