Wavelength (nm),Current (A)
1520,1.068e-05
1521,1.0719999999999999e-05
1522,1.15456e-05
1523,1.2139199999999999e-05
1524,1.1692799999999998e-05
1525,1.1631999999999998e-05
1526,1.1903999999999998e-05
1527,1.1875199999999998e-05
1528,1.1955199999999999e-05
1529,1.15776e-05
1530,1.22944e-05
1531,1.1776e-05
1532,1.16176e-05
1533,1.1792e-05
1534,1.1854399999999998e-05
1535,1.2624e-05
1536,1.1801599999999999e-05
1537,1.1496e-05
1538,1.2324799999999998e-05
1539,1.15216e-05
1540,1.1049599999999998e-05
1541,1.1409599999999998e-05
1542,1.1116799999999998e-05
1543,1.0772800000000001e-05
1544,1.1926399999999998e-05
1545,1.1361600000000001e-05
1546,1.228e-05
1547,1.16928e-05
1548,1.2363199999999999e-05
1549,1.14704e-05
1550,1.0956799999999996e-05
1551,1.1579199999999997e-05
1552,1.1657599999999998e-05
1553,1.11792e-05
1554,1.2017599999999998e-05
1555,1.14288e-05
1556,1.06368e-05
1557,1.10944e-05
1558,1.1961599999999999e-05
1559,1.18432e-05
1560,1.11008e-05
1561,1.1732799999999999e-05
1562,1.13168e-05
1563,1.0777599999999998e-05
1564,1.12384e-05
1565,1.05872e-05
1566,1.11568e-05
1567,1.1041600000000001e-05
1568,1.08224e-05
1569,1.1262399999999999e-05
1570,1.0233600000000003e-05
