Wavelength (nm),Current (A)
1520,0.0001098048
1521,0.00012171360000000002
1522,0.0001368816
1523,0.00015436480000000002
1524,0.0001630816
1525,0.0001561136
1526,0.00014612959999999998
1527,0.00013572159999999998
1528,0.0001257456
1529,0.0001174528
1530,0.00010888639999999997
1531,9.883199999999998e-05
1532,9.04864e-05
1533,8.497920000000001e-05
1534,7.66192e-05
1535,7.023839999999999e-05
1536,6.4944e-05
1537,5.910079999999998e-05
1538,5.5758399999999984e-05
1539,5.203039999999999e-05
1540,4.6929600000000006e-05
1541,4.386720000000001e-05
1542,4.046080000000001e-05
1543,3.8572800000000004e-05
1544,3.5422400000000015e-05
1545,3.2388800000000004e-05
1546,3.0536e-05
1547,2.7652799999999997e-05
1548,2.7025599999999998e-05
1549,2.5401599999999997e-05
1550,2.44992e-05
1551,2.2599999999999994e-05
1552,2.2366399999999996e-05
1553,2.0689599999999996e-05
1554,1.9047999999999994e-05
1555,1.7561599999999995e-05
1556,1.7564799999999998e-05
1557,1.6659199999999998e-05
1558,1.5713599999999995e-05
1559,1.5238399999999996e-05
1560,1.5022399999999997e-05
1561,1.4652799999999998e-05
1562,1.4571199999999997e-05
1563,1.6308799999999995e-05
1564,1.8915199999999995e-05
1565,2.23152e-05
1566,2.5137599999999998e-05
1567,2.96e-05
1568,3.456e-05
1569,3.9072000000000015e-05
1570,4.2248000000000006e-05
