Wavelength (nm),Current (A)
1520,9.603200000000002e-06
1521,1.0244799999999999e-05
1522,9.916800000000001e-06
1523,9.876799999999998e-06
1524,9.943999999999998e-06
1525,1.0052800000000001e-05
1526,9.5408e-06
1527,9.568000000000002e-06
1528,1.0348800000000002e-05
1529,1.02384e-05
1530,9.619200000000001e-06
1531,9.7488e-06
1532,9.6304e-06
1533,9.996799999999999e-06
1534,1.0129600000000002e-05
1535,1.00128e-05
1536,1.0152000000000002e-05
1537,1.02384e-05
1538,9.7792e-06
1539,9.721600000000002e-06
1540,9.908800000000002e-06
1541,9.4448e-06
1542,9.8112e-06
1543,9.667200000000001e-06
1544,9.6624e-06
1545,9.7856e-06
1546,9.574400000000001e-06
1547,9.7808e-06
1548,9.8624e-06
1549,9.4688e-06
1550,9.652800000000002e-06
1551,9.635200000000002e-06
1552,1.00512e-05
1553,1.0380799999999999e-05
1554,1.0152000000000002e-05
1555,9.726400000000002e-06
1556,1.0632000000000001e-05
1557,9.6144e-06
1558,9.832e-06
1559,1.0115200000000001e-05
1560,9.774399999999999e-06
1561,1.0036799999999999e-05
1562,9.859200000000002e-06
1563,1.0251199999999998e-05
1564,9.940799999999998e-06
1565,9.798400000000001e-06
1566,1.0430400000000001e-05
1567,9.92e-06
1568,9.598400000000001e-06
1569,1.0203199999999999e-05
1570,1.0256e-05
