Wavelength (nm),Current (A)
1520,1.4998399999999997e-05
1521,1.5572799999999998e-05
1522,1.5558399999999997e-05
1523,1.6382399999999998e-05
1524,1.7924799999999998e-05
1525,1.748e-05
1526,1.7831999999999998e-05
1527,1.6977599999999995e-05
1528,1.6279999999999993e-05
1529,1.6766399999999996e-05
1530,1.5564799999999997e-05
1531,1.6059199999999994e-05
1532,1.4972799999999995e-05
1533,1.5518399999999997e-05
1534,1.5219199999999998e-05
1535,1.5764799999999995e-05
1536,1.4972799999999995e-05
1537,1.4663999999999999e-05
1538,1.4995199999999997e-05
1539,1.4790399999999996e-05
1540,1.4777599999999999e-05
1541,1.3627199999999997e-05
1542,1.5091199999999997e-05
1543,1.4628799999999998e-05
1544,1.4566399999999997e-05
1545,1.4655999999999998e-05
1546,1.3625599999999999e-05
1547,1.3822399999999998e-05
1548,1.3561599999999999e-05
1549,1.3718399999999999e-05
1550,1.4174399999999998e-05
1551,1.41552e-05
1552,1.3147199999999998e-05
1553,1.2940799999999998e-05
1554,1.28992e-05
1555,1.3473599999999998e-05
1556,1.28704e-05
1557,1.2640000000000001e-05
1558,1.2262399999999995e-05
1559,1.3335999999999999e-05
1560,1.25216e-05
1561,1.1996799999999997e-05
1562,1.2491199999999998e-05
1563,1.2943999999999998e-05
1564,1.2508799999999998e-05
1565,1.2134399999999999e-05
1566,1.3203199999999998e-05
1567,1.2967999999999998e-05
1568,1.2751999999999998e-05
1569,1.1784000000000001e-05
1570,1.2631999999999997e-05
