Wavelength (nm),Current (A)
1520,1.0348800000000002e-05
1521,1.0604800000000002e-05
1522,1.0830400000000002e-05
1523,1.1699199999999998e-05
1524,1.1316800000000001e-05
1525,1.1187199999999999e-05
1526,1.1787200000000001e-05
1527,1.16592e-05
1528,1.1959999999999997e-05
1529,1.14144e-05
1530,1.2444799999999998e-05
1531,1.14464e-05
1532,1.1868799999999999e-05
1533,1.088e-05
1534,1.09968e-05
1535,1.1238400000000002e-05
1536,1.13136e-05
1537,1.11392e-05
1538,1.1547199999999998e-05
1539,1.05808e-05
1540,1.17056e-05
1541,1.2030400000000001e-05
1542,1.1512000000000001e-05
1543,1.1209599999999999e-05
1544,1.09344e-05
1545,1.1326399999999999e-05
1546,1.14784e-05
1547,1.1070399999999998e-05
1548,1.1444800000000001e-05
1549,1.07376e-05
1550,1.1400000000000001e-05
1551,1.1236800000000002e-05
1552,1.0894399999999999e-05
1553,1.02432e-05
1554,1.03312e-05
1555,1.1244800000000001e-05
1556,1.0700800000000001e-05
1557,1.0663999999999998e-05
1558,1.12192e-05
1559,1.0924799999999999e-05
1560,1.01136e-05
1561,1.0467199999999999e-05
1562,1.0473600000000003e-05
1563,1.07744e-05
1564,1.0060800000000002e-05
1565,1.0660800000000001e-05
1566,1.04688e-05
1567,9.7488e-06
1568,1.06352e-05
1569,1.0593599999999998e-05
1570,9.544000000000002e-06
