Wavelength (nm),Current (A)
1520,1.1057599999999999e-05
1521,1.13792e-05
1522,1.0779199999999998e-05
1523,1.1881599999999998e-05
1524,1.2465599999999998e-05
1525,1.14464e-05
1526,1.20512e-05
1527,1.1611200000000002e-05
1528,1.1590399999999998e-05
1529,1.1915199999999999e-05
1530,1.1619199999999999e-05
1531,1.11648e-05
1532,1.12656e-05
1533,1.16848e-05
1534,1.1819199999999999e-05
1535,1.1112e-05
1536,1.1656e-05
1537,1.1411199999999998e-05
1538,1.13904e-05
1539,1.0953600000000001e-05
1540,1.16848e-05
1541,1.13184e-05
1542,1.1331199999999997e-05
1543,1.1672e-05
1544,1.2369600000000001e-05
1545,1.1283199999999999e-05
1546,1.12144e-05
1547,1.1710399999999999e-05
1548,1.0763199999999997e-05
1549,1.1871999999999997e-05
1550,1.1616e-05
1551,1.2134399999999997e-05
1552,1.11184e-05
1553,1.1040000000000001e-05
1554,1.11744e-05
1555,1.05792e-05
1556,1.06448e-05
1557,1.1403199999999998e-05
1558,1.0713599999999999e-05
1559,1.1072e-05
1560,1.0947199999999999e-05
1561,1.0432000000000003e-05
1562,1.1032000000000002e-05
1563,1.1297599999999998e-05
1564,1.0763199999999999e-05
1565,1.0624e-05
1566,1.11328e-05
1567,1.1040000000000001e-05
1568,1.06208e-05
1569,1.01616e-05
1570,1.0251200000000001e-05
