Wavelength (nm),Current (A)
1520,5.099200000000001e-05
1521,8.2304e-05
1522,7.7784e-05
1523,7.5048e-05
1524,5.939600000000001e-05
1525,6.7904e-05
1526,7.5148e-05
1527,5.968400000000001e-05
1528,6.2012e-05
1529,6.878399999999998e-05
1530,7.1036e-05
1531,7.981200000000001e-05
1532,6.698799999999999e-05
1533,7.4888e-05
1534,6.127600000000001e-05
1535,7.404400000000001e-05
1536,7.3548e-05
1537,6.0123999999999996e-05
1538,6.6672e-05
1539,6.5456e-05
1540,6.4688e-05
1541,6.778800000000001e-05
1542,6.4548e-05
1543,6.009200000000001e-05
1544,7.0252e-05
1545,7.372e-05
1546,6.992400000000002e-05
1547,5.182000000000001e-05
1548,7.423600000000001e-05
1549,6.13e-05
1550,7.339199999999999e-05
1551,5.78e-05
1552,6.6964e-05
1553,7.4572e-05
1554,6.894e-05
1555,5.154800000000001e-05
1556,6.337600000000001e-05
1557,5.713600000000001e-05
1558,6.3876e-05
1559,5.9432e-05
1560,6.877600000000001e-05
1561,5.597200000000002e-05
1562,6.010400000000002e-05
1563,6.147599999999999e-05
1564,6.8052e-05
1565,6.102000000000001e-05
1566,6.4036e-05
1567,6.57e-05
1568,5.9716e-05
1569,6.502e-05
1570,6.645200000000001e-05
