Wavelength (nm),Current (A)
1520,8.7968e-06
1521,1.1171199999999999e-05
1522,1.12832e-05
1523,1.1511999999999998e-05
1524,1.12816e-05
1525,1.1536e-05
1526,1.1942399999999998e-05
1527,1.2179199999999997e-05
1528,1.1431999999999998e-05
1529,1.1776e-05
1530,1.18272e-05
1531,1.0873599999999999e-05
1532,1.1062400000000001e-05
1533,1.10784e-05
1534,1.2038399999999998e-05
1535,1.1020799999999998e-05
1536,1.1776e-05
1537,1.0980799999999998e-05
1538,1.0555200000000002e-05
1539,1.1297599999999998e-05
1540,1.0985599999999997e-05
1541,1.1016000000000001e-05
1542,1.07712e-05
1543,1.0736e-05
1544,1.1232e-05
1545,1.0835200000000001e-05
1546,1.08816e-05
1547,1.08784e-05
1548,1.0185600000000001e-05
1549,1.0406400000000003e-05
1550,1.0196800000000002e-05
1551,1.06656e-05
1552,1.0134400000000002e-05
1553,1.04288e-05
1554,1.0535999999999999e-05
1555,1.0340800000000001e-05
1556,1.08464e-05
1557,1.01712e-05
1558,1.0416e-05
1559,1.0062400000000002e-05
1560,1.0187200000000001e-05
1561,9.8192e-06
1562,1.03488e-05
1563,1.02592e-05
1564,9.848000000000001e-06
1565,9.8128e-06
1566,9.771199999999999e-06
1567,9.3424e-06
1568,1.0332800000000002e-05
1569,9.720000000000002e-06
1570,1.02848e-05
