Wavelength (nm),Current (A)
1520,2.2688e-06
1521,8.9824e-06
1522,9.7616e-06
1523,9.243200000000002e-06
1524,9.225600000000002e-06
1525,9.768e-06
1526,9.9808e-06
1527,9.6384e-06
1528,9.844800000000001e-06
1529,9.011200000000001e-06
1530,9.5632e-06
1531,9.179200000000002e-06
1532,9.128000000000001e-06
1533,9.763200000000002e-06
1534,9.272000000000002e-06
1535,9.5504e-06
1536,9.246400000000002e-06
1537,9.507200000000001e-06
1538,9.196800000000001e-06
1539,9.643200000000001e-06
1540,1.0392000000000001e-05
1541,1.0027200000000001e-05
1542,9.193600000000001e-06
1543,1.01024e-05
1544,9.947199999999999e-06
1545,9.576000000000001e-06
1546,9.393600000000001e-06
1547,1.0024000000000001e-05
1548,9.2384e-06
1549,9.708800000000001e-06
1550,1.0267199999999999e-05
1551,9.8432e-06
1552,1.0268799999999999e-05
1553,9.683200000000002e-06
1554,9.8256e-06
1555,9.496000000000002e-06
1556,9.492800000000003e-06
1557,1.0046400000000003e-05
1558,9.131200000000002e-06
1559,9.8e-06
1560,9.704e-06
1561,9.104000000000003e-06
1562,1.0158400000000001e-05
1563,1.0144000000000001e-05
1564,9.328000000000001e-06
1565,9.0976e-06
1566,9.654400000000002e-06
1567,1.04688e-05
1568,9.876799999999998e-06
1569,9.766400000000002e-06
1570,9.894400000000001e-06
