Wavelength (nm),Current (A)
1520,1.7177599999999993e-05
1521,1.8484799999999996e-05
1522,1.8568e-05
1523,1.7721599999999996e-05
1524,1.7348799999999996e-05
1525,1.6548799999999996e-05
1526,1.5779199999999996e-05
1527,1.6387199999999994e-05
1528,1.6593599999999996e-05
1529,1.5830399999999997e-05
1530,1.6321599999999996e-05
1531,1.7868799999999997e-05
1532,1.8089599999999997e-05
1533,1.8078399999999996e-05
1534,1.8795199999999992e-05
1535,2.0971199999999997e-05
1536,2.1870399999999993e-05
1537,2.2454399999999996e-05
1538,2.4134399999999997e-05
1539,2.5604799999999996e-05
1540,2.8080000000000002e-05
1541,3.2104e-05
1542,3.612960000000001e-05
1543,3.8259200000000015e-05
1544,3.906400000000002e-05
1545,4.047520000000001e-05
1546,4.525600000000001e-05
1547,4.9216e-05
1548,5.299839999999999e-05
1549,5.7699199999999985e-05
1550,6.485439999999999e-05
1551,7.048639999999999e-05
1552,7.55968e-05
1553,7.8304e-05
1554,8.626560000000002e-05
1555,9.709439999999998e-05
1556,0.00010865119999999999
1557,0.00011694560000000001
1558,0.00012161120000000003
1559,0.00013165600000000001
1560,0.0001407584
1561,0.00014853599999999998
1562,0.00016044479999999999
1563,0.0001738352
1564,0.0001741264
1565,0.0001738
1566,0.0001613376
1567,0.00015063519999999997
1568,0.000134256
1569,0.000119744
1570,0.00010437439999999997
