Wavelength (nm),Current (A)
1520,1.09008e-05
1521,1.1449599999999998e-05
1522,1.2775999999999998e-05
1523,1.32576e-05
1524,1.3444799999999997e-05
1525,1.3958399999999998e-05
1526,1.3830399999999997e-05
1527,1.2483199999999996e-05
1528,1.3121599999999996e-05
1529,1.22336e-05
1530,1.2860799999999997e-05
1531,1.23792e-05
1532,1.2590399999999999e-05
1533,1.3263999999999997e-05
1534,1.2977599999999998e-05
1535,1.2950399999999999e-05
1536,1.3643199999999997e-05
1537,1.3003199999999998e-05
1538,1.3505599999999998e-05
1539,1.4271999999999995e-05
1540,1.3945599999999999e-05
1541,1.6286399999999994e-05
1542,1.5977599999999994e-05
1543,1.58128e-05
1544,1.6899199999999996e-05
1545,1.6363199999999996e-05
1546,1.8687999999999995e-05
1547,2.02448e-05
1548,2.04112e-05
1549,2.1235199999999993e-05
1550,2.06336e-05
1551,2.1849599999999998e-05
1552,2.3563199999999998e-05
1553,2.5820800000000002e-05
1554,2.67376e-05
1555,2.78384e-05
1556,2.9787200000000002e-05
1557,3.580640000000001e-05
1558,3.6848000000000004e-05
1559,3.96784e-05
1560,4.137280000000001e-05
1561,4.438560000000001e-05
1562,4.685600000000001e-05
1563,5.12672e-05
1564,5.3278399999999995e-05
1565,5.4670399999999984e-05
1566,5.0902399999999996e-05
1567,4.91584e-05
1568,4.75776e-05
1569,4.2272000000000005e-05
1570,3.697600000000001e-05
