Wavelength (nm),Current (A)
1520,0.0001579872
1521,0.00017934559999999999
1522,0.00020570560000000002
1523,0.000230856
1524,0.00024626239999999994
1525,0.00023947519999999997
1526,0.0002241376
1527,0.00021235680000000003
1528,0.00019211039999999998
1529,0.00017766080000000003
1530,0.00016341600000000002
1531,0.0001489984
1532,0.0001351312
1533,0.00012536960000000003
1534,0.00011724480000000002
1535,0.00010786399999999998
1536,9.999519999999998e-05
1537,8.925920000000001e-05
1538,8.366400000000002e-05
1539,7.7872e-05
1540,7.070719999999999e-05
1541,6.512639999999999e-05
1542,5.983359999999998e-05
1543,5.5492799999999985e-05
1544,5.17584e-05
1545,4.81568e-05
1546,4.4275200000000006e-05
1547,4.136160000000001e-05
1548,3.8760000000000015e-05
1549,3.6057600000000005e-05
1550,3.266880000000001e-05
1551,3.05008e-05
1552,2.908e-05
1553,2.7576e-05
1554,2.4995199999999997e-05
1555,2.4287999999999995e-05
1556,2.2521599999999995e-05
1557,2.2475199999999994e-05
1558,2.10096e-05
1559,2.0884799999999997e-05
1560,1.9715199999999997e-05
1561,2.0435199999999997e-05
1562,2.0335999999999996e-05
1563,2.16256e-05
1564,2.4559999999999995e-05
1565,2.9814399999999997e-05
1566,3.6582400000000004e-05
1567,4.165920000000001e-05
1568,4.95872e-05
1569,5.6334399999999994e-05
1570,6.226399999999999e-05
