Wavelength (nm),Current (A)
1520,9.995200000000002e-06
1521,1.0412800000000003e-05
1522,1.13664e-05
1523,1.11792e-05
1524,1.20544e-05
1525,1.2833599999999999e-05
1526,1.2500799999999997e-05
1527,1.1886399999999999e-05
1528,1.26176e-05
1529,1.2209599999999999e-05
1530,1.2196799999999998e-05
1531,1.3243199999999997e-05
1532,1.2470399999999998e-05
1533,1.2582399999999998e-05
1534,1.3103999999999997e-05
1535,1.3295999999999998e-05
1536,1.2851199999999998e-05
1537,1.36864e-05
1538,1.2518399999999999e-05
1539,1.2966399999999997e-05
1540,1.3577599999999997e-05
1541,1.3319999999999998e-05
1542,1.3755199999999998e-05
1543,1.3721599999999996e-05
1544,1.4649599999999998e-05
1545,1.4062399999999996e-05
1546,1.4999999999999995e-05
1547,1.4382399999999996e-05
1548,1.5563199999999997e-05
1549,1.4881599999999998e-05
1550,1.5763199999999995e-05
1551,1.6217599999999995e-05
1552,1.7209599999999995e-05
1553,1.6948799999999996e-05
1554,1.7031999999999995e-05
1555,1.8383999999999992e-05
1556,1.8278399999999998e-05
1557,1.8561599999999995e-05
1558,1.8131199999999997e-05
1559,1.9585599999999994e-05
1560,2.2113599999999998e-05
1561,2.23264e-05
1562,2.2649599999999997e-05
1563,2.3825599999999994e-05
1564,2.5806399999999994e-05
1565,2.59728e-05
1566,2.54528e-05
1567,2.45728e-05
1568,2.4671999999999997e-05
1569,2.264159999999999e-05
1570,1.9911999999999995e-05
